Size, Comparisons, Exchanges, Total Run Time
2, 2, 1, 4000
8, 19, 11, 2100
32, 334, 296, 14900
64, 1081, 1008, 60100
128, 4928, 4771, 332100
256, 16049, 15774, 2009700
512, 69880, 69317, 2135400
1024, 298075, 296567, 1252000
2048, 1064099, 1061553, 1622700
4096, 4574254, 4568448, 4631300
