Size, Comparisons, Exchanges, Total Run Time
2, 3, 2, 8700
8, 12, 5, 2600
32, 25, 15, 3700
64, 809, 779, 33300
128, 49, 29, 6800
256, 3332, 3280, 221800
512, 28578, 28093, 987700
1024, 26846, 26347, 1248100
2048, 381915, 380204, 3735400
4096, 746345, 744727, 1435500
